Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2000,5.998721741,4.361815499,,3771
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2001,5.817052971,4.359508608,,3817
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2002,6.052887662,4.61438593,,4089
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2003,6.247090543,4.874508925,,4369
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2004,6.15344758,4.873593594,,4416
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2005,6.266969525,5.111826864,,4681
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2006,6.020377247,5.04383101,,4666
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2007,5.998343013,5.152414342,,4813
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2008,5.980539753,5.237993368,,4938
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2009,5.981571698,5.400642226,,5135
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2010,6.015406021,5.602833623,,5370
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2011,5.918961601,5.666389951,,5473
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2012,5.764571389,5.691784409,,5540
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2013,5.663422476,5.752148408,,5642
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2014,5.620328631,5.830660913,,5763
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2015,5.783061904,6.170456,,6145
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2016,5.804833893,6.33438005,,6354
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2017,5.713803356,6.386029957,,6450
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2018,5.507544574,6.323378284,,6428
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2019,5.441824558,6.415675633,,6562
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2020,5.000752776,6.036299102,,6208
1,"Lip,  oral cavity and pharynx ",76,Brazil,1,1,2021,4.958079113,6.098620289,,6296
10,Larynx,76,Brazil,1,1,2000,3.561758521,2.511138013,,2171
10,Larynx,76,Brazil,1,1,2001,3.667022561,2.648598497,,2319
10,Larynx,76,Brazil,1,1,2002,3.747758492,2.773822601,,2458
10,Larynx,76,Brazil,1,1,2003,3.563552018,2.702234062,,2422
10,Larynx,76,Brazil,1,1,2004,3.714904918,2.883763601,,2613
10,Larynx,76,Brazil,1,1,2005,3.834118662,3.043508111,,2787
10,Larynx,76,Brazil,1,1,2006,3.839094488,3.125099754,,2891
10,Larynx,76,Brazil,1,1,2007,3.800666539,3.190150579,,2980
10,Larynx,76,Brazil,1,1,2008,3.868756776,3.351976315,,3160
10,Larynx,76,Brazil,1,1,2009,3.640197952,3.236178409,,3077
10,Larynx,76,Brazil,1,1,2010,3.619428817,3.325182636,,3187
10,Larynx,76,Brazil,1,1,2011,3.693452156,3.48493853,,3366
10,Larynx,76,Brazil,1,1,2012,4.009358564,3.885618887,,3782
10,Larynx,76,Brazil,1,1,2013,3.702831833,3.704946351,,3634
10,Larynx,76,Brazil,1,1,2014,3.554303431,3.66452435,,3622
10,Larynx,76,Brazil,1,1,2015,3.61179472,3.824778992,,3809
10,Larynx,76,Brazil,1,1,2016,3.527006215,3.837115016,,3849
10,Larynx,76,Brazil,1,1,2017,3.447877045,3.860330357,,3899
10,Larynx,76,Brazil,1,1,2018,3.301550476,3.795207439,,3858
10,Larynx,76,Brazil,1,1,2019,3.281398592,3.894184097,,3983
10,Larynx,76,Brazil,1,1,2020,3.121169544,3.788244411,,3896
10,Larynx,76,Brazil,1,1,2021,3.095905712,3.83197933,,3956
106,Colorectum,76,Brazil,1,1,2000,6.024961241,4.165181016,,3601
106,Colorectum,76,Brazil,1,1,2001,6.174116272,4.364077126,,3821
106,Colorectum,76,Brazil,1,1,2002,6.414440584,4.612128955,,4087
106,Colorectum,76,Brazil,1,1,2003,6.413436029,4.714963314,,4226
106,Colorectum,76,Brazil,1,1,2004,6.389751623,4.871386351,,4414
106,Colorectum,76,Brazil,1,1,2005,6.804714265,5.283276729,,4838
106,Colorectum,76,Brazil,1,1,2006,6.951326992,5.556213329,,5140
106,Colorectum,76,Brazil,1,1,2007,6.902745211,5.679110343,,5305
106,Colorectum,76,Brazil,1,1,2008,7.404635897,6.225553479,,5869
106,Colorectum,76,Brazil,1,1,2009,7.027643313,6.148423458,,5846
106,Colorectum,76,Brazil,1,1,2010,7.467458889,6.731747214,,6452
106,Colorectum,76,Brazil,1,1,2011,7.56412489,7.056845223,,6816
106,Colorectum,76,Brazil,1,1,2012,7.504420296,7.192812752,,7001
106,Colorectum,76,Brazil,1,1,2013,7.591584881,7.531215932,,7387
106,Colorectum,76,Brazil,1,1,2014,7.747228288,7.955316113,,7863
106,Colorectum,76,Brazil,1,1,2015,7.750911775,8.195811534,,8162
106,Colorectum,76,Brazil,1,1,2016,8.077953751,8.801737718,,8829
106,Colorectum,76,Brazil,1,1,2017,8.100985069,9.115686482,,9207
106,Colorectum,76,Brazil,1,1,2018,8.143501146,9.450637083,,9607
106,Colorectum,76,Brazil,1,1,2019,8.34367006,9.963753486,,10191
106,Colorectum,76,Brazil,1,1,2020,7.845373769,9.615489984,,9889
106,Colorectum,76,Brazil,1,1,2021,8.224275439,10.32774611,,10662
11,Lung,76,Brazil,1,1,2000,17.2158986,11.69396836,,10110
11,Lung,76,Brazil,1,1,2001,17.13668705,11.91126939,,10429
11,Lung,76,Brazil,1,1,2002,17.06904414,12.10754381,,10729
11,Lung,76,Brazil,1,1,2003,16.96613408,12.32852452,,11050
11,Lung,76,Brazil,1,1,2004,17.34380165,12.93775763,,11723
11,Lung,76,Brazil,1,1,2005,17.11869603,13.10008012,,11996
11,Lung,76,Brazil,1,1,2006,16.62170988,13.09385449,,12113
11,Lung,76,Brazil,1,1,2007,16.97222072,13.70158969,,12799
11,Lung,76,Brazil,1,1,2008,16.68599385,13.90539795,,13109
