Cancer label,Country,Sex,Year,ASR (World),Crude rate,Total incidence,CO2_Emissions,PM2.5,Precipitation,Humidity,Temperature
"Lip,  oral cavity and pharynx ",Brazil,Male,2000,5.998721741,4.361815499,3771,11920,36,0.051,75.16,23.98
"Lip,  oral cavity and pharynx ",Brazil,Male,2001,5.817052971,4.359508608,3817,11983,38,0.045,73.57,24.4
"Lip,  oral cavity and pharynx ",Brazil,Male,2002,6.052887662,4.61438593,4089,12054,40,0.046,72.86,24.67
"Lip,  oral cavity and pharynx ",Brazil,Male,2003,6.247090543,4.874508925,4369,11867,44,0.044,72.02,24.55
"Lip,  oral cavity and pharynx ",Brazil,Male,2004,6.15344758,4.873593594,4416,12599,46,0.049,73.07,24.35
"Lip,  oral cavity and pharynx ",Brazil,Male,2005,6.266969525,5.111826864,4681,12568,46,0.047,72.42,24.63
"Lip,  oral cavity and pharynx ",Brazil,Male,2006,6.020377247,5.04383101,4666,12762,48,0.048,72.99,24.44
"Lip,  oral cavity and pharynx ",Brazil,Male,2007,5.998343013,5.152414342,4813,13405,52,0.044,71.36,24.57
"Lip,  oral cavity and pharynx ",Brazil,Male,2008,5.980539753,5.237993368,4938,14010,54,0.051,72.68,24.26
"Lip,  oral cavity and pharynx ",Brazil,Male,2009,5.981571698,5.400642226,5135,13025,52,0.054,75.06,24.49
"Lip,  oral cavity and pharynx ",Brazil,Male,2010,6.015406021,5.602833623,5370,14881,56,0.046,71.52,24.75
"Lip,  oral cavity and pharynx ",Brazil,Male,2011,5.918961601,5.666389951,5473,15650,56,0.052,73.36,24.27
"Lip,  oral cavity and pharynx ",Brazil,Male,2012,5.764571389,5.691784409,5540,16807,56,0.041,70.3,24.71
"Lip,  oral cavity and pharynx ",Brazil,Male,2013,5.663422476,5.752148408,5642,17487,57,0.048,72.43,24.59
"Lip,  oral cavity and pharynx ",Brazil,Male,2014,5.620328631,5.830660913,5763,18286,57,0.045,72.16,24.67
"Lip,  oral cavity and pharynx ",Brazil,Male,2015,5.783061904,6.170456,6145,17381,57,0.043,71.29,25.15
"Lip,  oral cavity and pharynx ",Brazil,Male,2016,5.804833893,6.33438005,6354,16224,57,0.044,71.02,25.04
"Lip,  oral cavity and pharynx ",Brazil,Male,2017,5.713803356,6.386029957,6450,16789,59,0.046,71.34,24.85
"Lip,  oral cavity and pharynx ",Brazil,Male,2018,5.507544574,6.323378284,6428,16025,57,0.047,72.95,24.65
"Lip,  oral cavity and pharynx ",Brazil,Male,2019,5.441824558,6.415675633,6562,15937,58,0.043,71.36,25.08
"Lip,  oral cavity and pharynx ",Brazil,Male,2020,5.000752776,6.036299102,6208,15233,61,0.045,70.64,24.61
"Lip,  oral cavity and pharynx ",Brazil,Male,2021,4.958079113,6.098620289,6296,17354,62,0.045,70.83,24.48
Larynx,Brazil,Male,2000,3.561758521,2.511138013,2171,11920,36,0.051,75.16,23.98
Larynx,Brazil,Male,2001,3.667022561,2.648598497,2319,11983,38,0.045,73.57,24.4
Larynx,Brazil,Male,2002,3.747758492,2.773822601,2458,12054,40,0.046,72.86,24.67
Larynx,Brazil,Male,2003,3.563552018,2.702234062,2422,11867,44,0.044,72.02,24.55
Larynx,Brazil,Male,2004,3.714904918,2.883763601,2613,12599,46,0.049,73.07,24.35
Larynx,Brazil,Male,2005,3.834118662,3.043508111,2787,12568,46,0.047,72.42,24.63
Larynx,Brazil,Male,2006,3.839094488,3.125099754,2891,12762,48,0.048,72.99,24.44
Larynx,Brazil,Male,2007,3.800666539,3.190150579,2980,13405,52,0.044,71.36,24.57
Larynx,Brazil,Male,2008,3.868756776,3.351976315,3160,14010,54,0.051,72.68,24.26
Larynx,Brazil,Male,2009,3.640197952,3.236178409,3077,13025,52,0.054,75.06,24.49
Larynx,Brazil,Male,2010,3.619428817,3.325182636,3187,14881,56,0.046,71.52,24.75
Larynx,Brazil,Male,2011,3.693452156,3.48493853,3366,15650,56,0.052,73.36,24.27
Larynx,Brazil,Male,2012,4.009358564,3.885618887,3782,16807,56,0.041,70.3,24.71
Larynx,Brazil,Male,2013,3.702831833,3.704946351,3634,17487,57,0.048,72.43,24.59
Larynx,Brazil,Male,2014,3.554303431,3.66452435,3622,18286,57,0.045,72.16,24.67
Larynx,Brazil,Male,2015,3.61179472,3.824778992,3809,17381,57,0.043,71.29,25.15
Larynx,Brazil,Male,2016,3.527006215,3.837115016,3849,16224,57,0.044,71.02,25.04
Larynx,Brazil,Male,2017,3.447877045,3.860330357,3899,16789,59,0.046,71.34,24.85
Larynx,Brazil,Male,2018,3.301550476,3.795207439,3858,16025,57,0.047,72.95,24.65
Larynx,Brazil,Male,2019,3.281398592,3.894184097,3983,15937,58,0.043,71.36,25.08
Larynx,Brazil,Male,2020,3.121169544,3.788244411,3896,15233,61,0.045,70.64,24.61
Larynx,Brazil,Male,2021,3.095905712,3.83197933,3956,17354,62,0.045,70.83,24.48
Colorectum,Brazil,Male,2000,6.024961241,4.165181016,3601,11920,36,0.051,75.16,23.98
Colorectum,Brazil,Male,2001,6.174116272,4.364077126,3821,11983,38,0.045,73.57,24.4
Colorectum,Brazil,Male,2002,6.414440584,4.612128955,4087,12054,40,0.046,72.86,24.67
Colorectum,Brazil,Male,2003,6.413436029,4.714963314,4226,11867,44,0.044,72.02,24.55
Colorectum,Brazil,Male,2004,6.389751623,4.871386351,4414,12599,46,0.049,73.07,24.35
Colorectum,Brazil,Male,2005,6.804714265,5.283276729,4838,12568,46,0.047,72.42,24.63
Colorectum,Brazil,Male,2006,6.951326992,5.556213329,5140,12762,48,0.048,72.99,24.44
Colorectum,Brazil,Male,2007,6.902745211,5.679110343,5305,13405,52,0.044,71.36,24.57
Colorectum,Brazil,Male,2008,7.404635897,6.225553479,5869,14010,54,0.051,72.68,24.26
Colorectum,Brazil,Male,2009,7.027643313,6.148423458,5846,13025,52,0.054,75.06,24.49
Colorectum,Brazil,Male,2010,7.467458889,6.731747214,6452,14881,56,0.046,71.52,24.75
Colorectum,Brazil,Male,2011,7.56412489,7.056845223,6816,15650,56,0.052,73.36,24.27
Colorectum,Brazil,Male,2012,7.504420296,7.192812752,7001,16807,56,0.041,70.3,24.71
Colorectum,Brazil,Male,2013,7.591584881,7.531215932,7387,17487,57,0.048,72.43,24.59
Colorectum,Brazil,Male,2014,7.747228288,7.955316113,7863,18286,57,0.045,72.16,24.67
Colorectum,Brazil,Male,2015,7.750911775,8.195811534,8162,17381,57,0.043,71.29,25.15
Colorectum,Brazil,Male,2016,8.077953751,8.801737718,8829,16224,57,0.044,71.02,25.04
Colorectum,Brazil,Male,2017,8.100985069,9.115686482,9207,16789,59,0.046,71.34,24.85
Colorectum,Brazil,Male,2018,8.143501146,9.450637083,9607,16025,57,0.047,72.95,24.65
Colorectum,Brazil,Male,2019,8.34367006,9.963753486,10191,15937,58,0.043,71.36,25.08
Colorectum,Brazil,Male,2020,7.845373769,9.615489984,9889,15233,61,0.045,70.64,24.61
Colorectum,Brazil,Male,2021,8.224275439,10.32774611,10662,17354,62,0.045,70.83,24.48
Lung,Brazil,Male,2000,17.2158986,11.69396836,10110,11920,36,0.051,75.16,23.98
Lung,Brazil,Male,2001,17.13668705,11.91126939,10429,11983,38,0.045,73.57,24.4
Lung,Brazil,Male,2002,17.06904414,12.10754381,10729,12054,40,0.046,72.86,24.67
Lung,Brazil,Male,2003,16.96613408,12.32852452,11050,11867,44,0.044,72.02,24.55
Lung,Brazil,Male,2004,17.34380165,12.93775763,11723,12599,46,0.049,73.07,24.35
Lung,Brazil,Male,2005,17.11869603,13.10008012,11996,12568,46,0.047,72.42,24.63
Lung,Brazil,Male,2006,16.62170988,13.09385449,12113,12762,48,0.048,72.99,24.44
Lung,Brazil,Male,2007,16.97222072,13.70158969,12799,13405,52,0.044,71.36,24.57
Lung,Brazil,Male,2008,16.68599385,13.90539795,13109,14010,54,0.051,72.68,24.26
Lung,Brazil,Male,2009,16.21717879,13.97330723,13286,13025,52,0.054,75.06,24.49
Lung,Brazil,Male,2010,16.01488678,14.26479354,13672,14881,56,0.046,71.52,24.75
Lung,Brazil,Male,2011,15.41193652,14.17270456,13689,15650,56,0.052,73.36,24.27
Lung,Brazil,Male,2012,15.39589722,14.65891335,14268,16807,56,0.041,70.3,24.71
Lung,Brazil,Male,2013,15.32192057,15.09199803,14803,17487,57,0.048,72.43,24.59
Lung,Brazil,Male,2014,15.04669297,15.3015644,15124,18286,57,0.045,72.16,24.67
Lung,Brazil,Male,2015,14.79791942,15.57525517,15511,17381,57,0.043,71.29,25.15
Lung,Brazil,Male,2016,14.66441216,15.91470619,15964,16224,57,0.044,71.02,25.04
Lung,Brazil,Male,2017,14.23480905,15.97299555,16133,16789,59,0.046,71.34,24.85
Lung,Brazil,Male,2018,13.91825416,16.1025792,16369,16025,57,0.047,72.95,24.65
Lung,Brazil,Male,2019,13.68411593,16.35791969,16731,15937,58,0.043,71.36,25.08
Lung,Brazil,Male,2020,12.61562138,15.56427831,16007,15233,61,0.045,70.64,24.61
Lung,Brazil,Male,2021,12.22960376,15.48580727,15987,17354,62,0.045,70.83,24.48
Melanoma of skin,Brazil,Male,2000,0.8748866972,0.6546771605,566,11920,36,0.051,75.16,23.98
Melanoma of skin,Brazil,Male,2001,0.9321916377,0.6989833031,612,11983,38,0.045,73.57,24.4
Melanoma of skin,Brazil,Male,2002,0.8547850158,0.6748356043,598,12054,40,0.046,72.86,24.67
Melanoma of skin,Brazil,Male,2003,0.8336108398,0.6549179993,587,11867,44,0.044,72.02,24.55
Melanoma of skin,Brazil,Male,2004,0.822665139,0.6654839079,603,12599,46,0.049,73.07,24.35
