Cancer label,Country,Sex,Year,ASR (World),Crude rate,Total incidence,CO2_Emissions,PM2.5,Precipitation,Humidity,Temperature
"Lip,  oral cavity and pharynx ",Canada,Male,2000,2.76754326,3.884878747,594,8474,4,0.028,73.2,0.097
"Lip,  oral cavity and pharynx ",Canada,Male,2001,3.304524409,4.677717099,723,8473,4,0.026,72.58,1.125
"Lip,  oral cavity and pharynx ",Canada,Male,2002,3.379757684,4.833498617,755,8682,4,0.028,72.82,-0.248
"Lip,  oral cavity and pharynx ",Canada,Male,2003,3.054150832,4.38152229,691,9162,4,0.028,72.48,0.259
"Lip,  oral cavity and pharynx ",Canada,Male,2004,2.904009513,4.391026363,699,9085,4,0.028,73.14,-0.321
"Lip,  oral cavity and pharynx ",Canada,Male,2005,2.844090763,4.367439803,702,9062,4,0.03,73.35,0.945
"Lip,  oral cavity and pharynx ",Canada,Male,2006,2.756475785,4.36153315,708,8974,4,0.028,73.0,1.728
"Lip,  oral cavity and pharynx ",Canada,Male,2007,2.971784149,4.689936783,769,9486,4,0.029,72.77,0.138
"Lip,  oral cavity and pharynx ",Canada,Male,2008,2.734910071,4.519520239,749,9069,4,0.029,72.79,0.038
"Lip,  oral cavity and pharynx ",Canada,Male,2009,2.543830411,4.302104263,721,8617,3,0.028,73.12,0.016
"Lip,  oral cavity and pharynx ",Canada,Male,2010,2.607702924,4.432505861,751,8746,3,0.029,73.7,2.081
"Lip,  oral cavity and pharynx ",Canada,Male,2011,2.800555551,4.923056367,843,8945,3,0.03,73.23,0.714
"Lip,  oral cavity and pharynx ",Canada,Male,2012,2.574684611,4.54599818,787,8941,3,0.029,72.88,1.278
"Lip,  oral cavity and pharynx ",Canada,Male,2013,2.944220402,5.330641007,933,9152,3,0.029,73.07,0.182
"Lip,  oral cavity and pharynx ",Canada,Male,2014,2.916098789,5.391842843,953,9434,3,0.03,73.22,-0.085
"Lip,  oral cavity and pharynx ",Canada,Male,2015,2.674207041,5.095959753,909,9463,3,0.028,72.41,0.566
"Lip,  oral cavity and pharynx ",Canada,Male,2016,2.913525648,5.711860115,1030,9414,3,0.029,73.95,1.257
"Lip,  oral cavity and pharynx ",Canada,Male,2017,2.838195585,5.623209895,1027,9570,3,0.028,72.5,0.773
"Lip,  oral cavity and pharynx ",Canada,Male,2018,2.805245182,5.703505533,1056,9677,3,0.029,72.18,-0.041
"Lip,  oral cavity and pharynx ",Canada,Male,2019,2.802676355,5.653774719,1061,9422,3,0.03,73.2,0.022
"Lip,  oral cavity and pharynx ",Canada,Male,2020,2.717185314,5.694866371,1080,8534,3,0.029,73.29,0.678
"Lip,  oral cavity and pharynx ",Canada,Male,2021,2.797624167,6.024481851,1151,8828,3,0.029,72.73,1.457
"Lip,  oral cavity and pharynx ",Canada,Male,2022,2.75307091,6.02623471,1162,9262,3,0.03,72.38,0.6
Larynx,Canada,Male,2000,1.863322879,2.720723163,416,8474,4,0.028,73.2,0.097
Larynx,Canada,Male,2001,1.872010224,2.743225519,424,8473,4,0.026,72.58,1.125
Larynx,Canada,Male,2002,1.711841132,2.592803894,405,8682,4,0.028,72.82,-0.248
Larynx,Canada,Male,2003,1.559315181,2.377816004,375,9162,4,0.028,72.48,0.259
Larynx,Canada,Male,2004,1.477968598,2.261472805,360,9085,4,0.028,73.14,-0.321
Larynx,Canada,Male,2005,1.413947244,2.233491295,359,9062,4,0.03,73.35,0.945
Larynx,Canada,Male,2006,1.345175375,2.16844586,352,8974,4,0.028,73.0,1.728
Larynx,Canada,Male,2007,1.210018155,2.030882898,333,9486,4,0.029,72.77,0.138
Larynx,Canada,Male,2008,1.327882257,2.244674939,372,9069,4,0.029,72.79,0.038
Larynx,Canada,Male,2009,1.219902564,2.195803563,368,8617,3,0.028,73.12,0.016
Larynx,Canada,Male,2010,1.101755657,2.006727021,340,8746,3,0.029,73.7,2.081
Larynx,Canada,Male,2011,0.955134288,1.775337053,304,8945,3,0.03,73.23,0.714
Larynx,Canada,Male,2012,0.9898295144,1.877318181,325,8941,3,0.029,72.88,1.278
Larynx,Canada,Male,2013,0.9956246384,1.896862609,332,9152,3,0.029,73.07,0.182
Larynx,Canada,Male,2014,0.8726657388,1.736931535,307,9434,3,0.03,73.22,-0.085
Larynx,Canada,Male,2015,0.8982600263,1.911685672,341,9463,3,0.028,72.41,0.566
Larynx,Canada,Male,2016,0.8380946238,1.818922444,328,9414,3,0.029,73.95,1.257
Larynx,Canada,Male,2017,0.8551085432,1.806873676,330,9570,3,0.028,72.5,0.773
