Cancer label,Country,Sex,Year,ASR (World),Crude rate,Total incidence,CO2_Emissions,PM2.5,Precipitation,Humidity,Temperature
"Lip,  oral cavity and pharynx ",Mexico,Male,2000,1.45489761,1.029903711,496,55278,50,0.029,60.87,20.65
"Lip,  oral cavity and pharynx ",Mexico,Male,2001,1.598165323,1.150122644,562,54841,48,0.03,62.25,20.54
"Lip,  oral cavity and pharynx ",Mexico,Male,2002,1.610377239,1.184112821,587,56682,48,0.03,61.85,20.72
"Lip,  oral cavity and pharynx ",Mexico,Male,2003,1.442491379,1.092052931,549,58089,48,0.031,61.38,20.79
"Lip,  oral cavity and pharynx ",Mexico,Male,2004,1.445271948,1.108600105,565,60611,49,0.03,63.32,20.36
"Lip,  oral cavity and pharynx ",Mexico,Male,2005,1.513990335,1.190482286,615,61913,50,0.03,61.02,20.9
"Lip,  oral cavity and pharynx ",Mexico,Male,2006,1.472681708,1.197294127,627,65270,52,0.033,61.76,20.82
"Lip,  oral cavity and pharynx ",Mexico,Male,2007,1.324429272,1.10130531,585,65304,50,0.033,62.0,20.64
"Lip,  oral cavity and pharynx ",Mexico,Male,2008,1.440671492,1.207546184,651,65454,50,0.035,60.01,20.57
"Lip,  oral cavity and pharynx ",Mexico,Male,2009,1.380614406,1.178841473,645,63301,46,0.029,60.69,21.07
"Lip,  oral cavity and pharynx ",Mexico,Male,2010,1.36193527,1.178098288,654,65933,49,0.037,61.21,20.34
"Lip,  oral cavity and pharynx ",Mexico,Male,2011,1.297149846,1.136664867,640,67101,49,0.03,58.31,21.07
"Lip,  oral cavity and pharynx ",Mexico,Male,2012,1.383672888,1.238909417,707,68969,47,0.03,60.84,20.96
"Lip,  oral cavity and pharynx ",Mexico,Male,2013,1.333460162,1.205960448,697,66433,47,0.039,61.21,20.78
"Lip,  oral cavity and pharynx ",Mexico,Male,2014,1.415367776,1.294540741,757,63776,45,0.035,62.42,20.81
"Lip,  oral cavity and pharynx ",Mexico,Male,2015,1.343754536,1.262993693,746,66096,46,0.035,65.27,20.99
